Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerGrowthScore,PromotionDelayCategory,TrainingNeedIndicator,CareerStage,HighPromotionGap,CareerCluster,PC1,PC2,HC_Cluster,CareerClusterName
31,0,Travel_Rarely,1232,Research & Development,7,4,Medical,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Yes,14,3,3,0,11,2,2,11,9,4,10,0.3636363636363636,0.8181818181818182,0.1818181818181818,0.9090909090909092,8.4,Delayed,0,Senior,0,1,2.6263271664853836,0.3968995926876101,1,Stable Contributors
29,0,Travel_Rarely,144,Sales,10,1,Marketing,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Yes,14,3,1,2,7,2,3,7,7,1,7,0.1428571428571428,1.0,0.2857142857142857,1.0,9.4,Recent,0,Senior,0,1,1.1905295965699416,-0.06695620064218798,1,Stable Contributors
35,0,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,3,Male,62,3,3,Manufacturing Director,2,Single,8095,18264,0,No,13,3,4,0,17,5,3,16,6,0,13,0.0,0.375,0.3125,0.8125,15.3,Recent,0,Veteran,0,1,1.1553889759066331,3.1687118173174276,1,Stable Contributors
23,0,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,3,Male,83,3,1,Research Scientist,4,Divorced,2904,16092,1,No,12,3,3,2,4,2,2,4,2,0,2,0.0,0.5,0.5,0.5,8.2,Recent,0,Mid,0,0,-1.2064727166324887,-0.5452161703814443,2,Fast-track Performers
41,0,Travel_Rarely,483,Research & Development,6,3,Medical,4,Male,95,2,2,Manufacturing Director,2,Single,6032,10110,6,Yes,15,3,4,0,8,3,3,5,4,1,2,0.2,0.8,0.6,0.4,10.5,Recent,0,Mid,0,0,-0.594813304869507,0.06382850869054967,2,Fast-track Performers
47,0,Travel_Frequently,1309,Sales,4,1,Medical,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3,No,19,3,1,0,5,3,3,0,0,0,0,0.0,0.0,0.0,0.0,11.9,Recent,0,Early,0,0,-2.5718042388937215,0.7474577691977944,2,Fast-track Performers
42,0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,No,14,3,2,0,16,2,3,1,0,0,0,0.0,0.0,2.0,0.0,14.4,Recent,0,Early,0,0,-2.8943588071672828,1.7512572430595497,2,Fast-track Performers
29,0,Non-Travel,746,Sales,2,3,Life Sciences,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,No,14,3,1,1,4,3,2,4,3,0,2,0.0,0.75,0.75,0.5,11.4,Recent,0,Mid,0,0,-1.1002798379787735,0.38689979648766626,2,Fast-track Performers
42,0,Travel_Rarely,544,Human Resources,2,1,Technical Degree,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,Yes,11,3,3,1,4,5,3,3,2,1,0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,10.1,Recent,0,Mid,0,0,-2.0768826199880275,-0.35063789739355644,2,Fast-track Performers
32,0,Travel_Rarely,1062,Research & Development,2,3,Medical,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,No,13,3,3,1,8,4,3,8,0,0,7,0.0,0.0,0.5,0.875,10.3,Recent,0,Senior,0,0,-0.9605173202198567,0.5860900144823125,2,Fast-track Performers
48,0,Travel_Rarely,530,Sales,29,1,Medical,1,Female,91,3,3,Manager,3,Married,12504,23978,3,No,21,4,2,1,15,3,1,0,0,0,0,0.0,0.0,0.0,0.0,15.1,Recent,0,Early,0,0,-2.6115427312110486,1.6374505292136137,2,Fast-track Performers
37,0,Travel_Rarely,1319,Research & Development,6,3,Medical,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Yes,13,3,1,2,13,2,3,7,7,6,7,0.8571428571428571,1.0,0.2857142857142857,1.0,4.300000000000001,Delayed,0,Senior,1,1,2.6149526826364076,-2.023089737767924,1,Stable Contributors
30,0,Non-Travel,641,Sales,25,2,Technical Degree,4,Female,85,3,2,Sales Executive,3,Married,4736,6069,7,Yes,12,3,2,1,4,2,4,2,2,2,2,1.0,1.0,1.0,1.0,8.2,Moderate,0,Early,0,0,0.26059877932838393,-2.266555346226146,1,Fast-track Performers
26,0,Travel_Rarely,933,Sales,1,3,Life Sciences,3,Male,57,3,2,Sales Executive,3,Married,5296,20156,1,No,17,3,2,1,8,3,3,8,7,7,7,0.875,0.875,0.375,0.875,4.699999999999999,Critical,0,Senior,1,1,2.524099058702372,-1.6880964365100053,1,Stable Contributors
42,0,Travel_Rarely,1332,Research & Development,2,4,Other,1,Male,98,2,2,Healthcare Representative,4,Single,6781,17078,3,No,23,4,2,0,14,6,3,1,0,0,0,0.0,0.0,6.0,0.0,16.3,Recent,0,Early,0,0,-4.93350929920737,1.6478777615057831,2,Fast-track Performers
21,1,Travel_Frequently,756,Sales,1,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,8.1,Recent,0,Mid,0,0,-0.9206313657245906,-1.1624552891485935,2,Fast-track Performers
36,0,Non-Travel,845,Sales,1,5,Medical,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,No,15,3,2,0,7,6,3,1,0,0,0,0.0,0.0,6.0,0.0,14.5,Recent,0,Early,0,0,-4.8040356093078085,1.3816136465098314,2,Fast-track Performers
36,0,Travel_Frequently,541,Sales,3,4,Medical,1,Male,48,2,3,Sales Executive,4,Married,9699,7246,4,No,11,3,1,1,16,2,3,13,9,1,12,0.0769230769230769,0.6923076923076923,0.1538461538461538,0.9230769230769232,11.1,Recent,0,Senior,0,1,2.1778126734222742,1.6116940030833768,1,Stable Contributors
57,0,Travel_Rarely,593,Research & Development,1,4,Medical,4,Male,88,3,2,Healthcare Representative,3,Married,6755,2967,2,No,11,3,3,0,15,2,3,3,2,1,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.1,Recent,0,Mid,0,0,-0.6368530364048319,-0.7409495589455334,2,Fast-track Performers
40,0,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,4,Female,46,4,1,Laboratory Technician,3,Married,2213,22495,3,Yes,13,3,3,1,10,3,3,7,7,1,7,0.1428571428571428,1.0,0.4285714285714285,1.0,8.3,Recent,0,Senior,0,1,0.9754103288786227,-0.49444153692066944,1,Stable Contributors
21,0,Non-Travel,895,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,2610,2851,1,No,24,4,3,0,3,3,2,3,2,2,2,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,9.4,Moderate,0,Mid,0,0,-0.6795470520718412,-1.4685609718598074,1,Fast-track Performers
33,1,Travel_Rarely,350,Sales,5,3,Marketing,4,Female,34,3,1,Sales Representative,3,Single,2851,9150,1,Yes,13,3,2,0,1,2,3,1,0,0,0,0.0,0.0,2.0,0.0,8.3,Recent,0,Early,0,0,-3.026897727242225,-0.4009852578291137,2,Fast-track Performers
37,0,Travel_Rarely,921,Research & Development,10,3,Medical,3,Female,98,3,1,Laboratory Technician,1,Married,3452,17663,6,No,20,4,2,1,17,3,3,5,4,0,3,0.0,0.8,0.6,0.6,11.0,Recent,0,Mid,0,0,-0.8195601788653379,-0.0076889087697519795,2,Fast-track Performers
46,0,Non-Travel,1144,Research & Development,7,4,Medical,3,Female,30,3,2,Manufacturing Director,3,Married,5258,16044,2,No,14,3,3,0,7,2,4,1,0,0,0,0.0,0.0,2.0,0.0,10.4,Recent,0,Early,0,0,-2.9875134090653765,0.32629054302251304,2,Fast-track Performers
41,1,Travel_Frequently,143,Sales,4,3,Marketing,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,No,18,3,3,0,8,5,3,8,7,7,7,0.875,0.875,0.625,0.875,6.800000000000001,Critical,0,Senior,1,1,2.1769610666867796,-1.0720706481385396,2,Stable Contributors
50,0,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,4,Male,100,2,3,Healthcare Representative,4,Single,10496,2755,6,No,15,3,4,0,20,2,3,4,3,1,3,0.25,0.75,0.5,0.75,11.5,Recent,0,Mid,0,0,-0.2137534899238541,0.2136839567018274,2,Fast-track Performers
40,1,Travel_Rarely,575,Sales,22,2,Marketing,3,Male,68,2,2,Sales Executive,3,Married,6380,6110,2,Yes,12,3,1,2,8,6,3,6,4,1,0,0.1666666666666666,0.6666666666666666,1.0,0.0,13.2,Recent,0,Mid,0,0,-1.6397864938597602,1.1920499609518345,2,Fast-track Performers
31,0,Travel_Rarely,408,Research & Development,9,4,Life Sciences,3,Male,42,2,1,Research Scientist,2,Single,2657,7551,0,Yes,16,3,4,0,3,5,3,2,2,2,2,1.0,1.0,2.5,1.0,9.6,Moderate,0,Early,0,0,-0.6877019948192249,-2.0700697509547856,2,Fast-track Performers
21,1,Travel_Rarely,156,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,2716,25422,1,No,15,3,4,0,1,0,3,1,0,0,0,0.0,0.0,0.0,0.0,6.5,Recent,1,Early,0,0,-2.1366190840515036,-0.8916656824900019,2,Fast-track Performers
29,0,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,4,Male,54,3,1,Research Scientist,4,Single,2201,18168,9,No,16,3,4,0,6,4,3,3,2,1,2,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,9.6,Recent,0,Mid,0,0,-1.1937973079562916,-0.7975154151675935,2,Fast-track Performers
35,0,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,Male,97,2,2,Healthcare Representative,2,Single,6540,19394,9,No,19,3,3,0,10,5,3,1,1,0,0,0.0,1.0,5.0,0.0,13.9,Recent,0,Early,0,0,-3.584713306893626,0.6157519511021194,2,Fast-track Performers
27,0,Travel_Rarely,1469,Research & Development,1,2,Medical,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,No,11,3,2,1,5,2,3,5,2,0,4,0.0,0.4,0.4,0.8,8.1,Recent,0,Mid,0,0,-0.7390533634391728,-0.48427767641590247,2,Fast-track Performers
28,0,Travel_Rarely,304,Sales,9,4,Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,No,16,3,4,0,7,1,3,7,5,0,7,0.0,0.7142857142857143,0.1428571428571428,1.0,9.6,Recent,1,Senior,0,1,0.6459390262166059,0.1292165560305441,1,Stable Contributors
49,0,Travel_Rarely,1261,Research & Development,7,3,Other,2,Male,31,2,3,Healthcare Representative,3,Single,10965,12066,8,No,24,4,3,0,26,2,3,5,2,0,0,0.0,0.4,0.4,0.0,14.4,Recent,0,Mid,0,0,-1.8117143981871144,1.4673481831073882,2,Fast-track Performers
51,0,Travel_Rarely,1178,Sales,14,2,Life Sciences,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,No,11,3,3,1,18,2,2,7,7,0,7,0.0,1.0,0.2857142857142857,1.0,10.1,Recent,0,Senior,0,1,0.9286625242276813,0.276934664117012,1,Stable Contributors
36,0,Travel_Rarely,329,Research & Development,2,3,Life Sciences,4,Female,96,3,1,Research Scientist,3,Married,2543,11868,4,No,13,3,2,1,6,3,3,2,2,2,2,1.0,1.0,1.5,1.0,7.300000000000001,Moderate,0,Early,0,0,-0.08415535176278446,-2.6809798647590743,1,Fast-track Performers
34,1,Non-Travel,1362,Sales,19,3,Marketing,1,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,Yes,13,3,2,0,9,3,2,5,2,0,4,0.0,0.4,0.6,0.8,11.3,Recent,0,Mid,0,0,-0.9010368012058642,0.554937186414672,2,Fast-track Performers
55,0,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,3,Female,97,3,4,Manager,4,Single,16659,23258,2,Yes,13,3,3,0,30,2,3,5,4,1,2,0.2,0.8,0.4,0.4,13.3,Recent,0,Mid,0,0,-0.2930979642556751,1.1620636959155306,2,Fast-track Performers
24,0,Travel_Rarely,1371,Sales,10,4,Marketing,4,Female,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Yes,12,3,4,1,5,2,4,5,2,0,3,0.0,0.4,0.4,0.6,10.2,Recent,0,Mid,0,0,-0.9497633034836951,0.2896063220169142,2,Fast-track Performers
30,0,Travel_Rarely,202,Sales,2,1,Technical Degree,3,Male,72,3,1,Sales Representative,2,Married,2476,17434,1,No,18,3,1,1,1,3,3,1,0,0,0,0.0,0.0,3.0,0.0,9.8,Recent,0,Early,0,0,-3.515194945470773,-0.06689034050001907,2,Fast-track Performers
26,1,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,Male,73,3,1,Research Scientist,1,Single,3102,6582,0,No,22,4,3,0,7,2,3,6,4,0,4,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,10.2,Recent,0,Mid,0,0,-0.4858345531740729,-0.11692352357684399,2,Fast-track Performers
22,0,Travel_Rarely,253,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,2244,24440,1,No,13,3,4,1,2,1,3,2,1,1,2,0.5,0.5,0.5,1.0,6.3,Recent,1,Early,0,0,-0.4711976102216297,-2.1172180909033416,2,Fast-track Performers
36,0,Travel_Rarely,164,Sales,2,2,Medical,2,Male,61,2,3,Sales Executive,3,Married,7596,3809,1,No,13,3,2,2,10,2,3,10,9,9,0,0.9,0.9,0.2,0.0,3.3000000000000007,Critical,0,Senior,1,1,2.1638430505738464,-1.5138676577363446,1,Stable Contributors
30,1,Travel_Frequently,464,Research & Development,4,3,Technical Degree,3,Male,40,3,1,Research Scientist,4,Single,2285,3427,9,Yes,23,4,3,0,3,4,3,1,0,0,0,0.0,0.0,4.0,0.0,12.3,Recent,0,Early,0,0,-4.075421991421299,0.41512908516016,2,Fast-track Performers
37,0,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,No,12,3,3,1,18,2,2,18,7,12,17,0.6666666666666666,0.3888888888888889,0.1111111111111111,0.9444444444444444,-3.8000000000000007,Critical,0,Veteran,1,1,5.044497188205049,-2.1213791437757865,1,Stable Contributors
40,0,Travel_Rarely,759,Sales,2,2,Marketing,4,Female,46,3,2,Sales Executive,2,Divorced,5715,22553,7,No,12,3,3,2,8,5,3,5,4,1,3,0.2,0.8,1.0,0.6,12.2,Recent,0,Mid,0,0,-0.7114896446742269,0.5671361809017126,2,Fast-track Performers
42,0,Travel_Rarely,201,Research & Development,1,4,Life Sciences,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,No,16,3,2,1,8,5,3,5,2,1,2,0.2,0.4,1.0,0.4,10.6,Recent,0,Mid,0,0,-1.5373620235717442,0.10865343870675681,2,Fast-track Performers
37,0,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,3,Male,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Yes,12,3,4,0,18,2,2,1,0,0,1,0.0,0.0,2.0,1.0,10.2,Recent,0,Early,0,0,-2.1780511420617974,-0.15983982711011774,2,Fast-track Performers
43,0,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,Male,59,2,4,Research Director,2,Divorced,14336,4345,1,No,11,3,3,1,25,3,3,25,10,3,9,0.12,0.4,0.12,0.36,12.1,Moderate,0,Veteran,0,1,2.474163044100372,3.153916771912975,1,Stable Contributors
40,0,Travel_Rarely,555,Research & Development,2,3,Medical,2,Female,78,2,2,Laboratory Technician,3,Married,3448,13436,6,No,22,4,2,1,20,3,3,1,0,0,0,0.0,0.0,3.0,0.0,13.2,Recent,0,Early,0,0,-3.569319403332496,0.8526873211820172,2,Fast-track Performers
54,0,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,No,11,3,3,1,24,4,2,4,2,1,2,0.25,0.5,1.0,0.5,17.1,Recent,0,Mid,0,0,-1.0809129927230858,2.3461621334244103,2,Fast-track Performers
34,0,Non-Travel,1381,Sales,4,4,Marketing,3,Female,72,3,2,Sales Executive,3,Married,6538,12740,9,No,15,3,1,1,6,3,3,3,2,1,2,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,10.5,Recent,0,Mid,0,0,-0.9028259958643351,-0.3908021357976416,2,Fast-track Performers
31,0,Travel_Rarely,480,Research & Development,7,2,Medical,2,Female,31,3,2,Manufacturing Director,1,Married,4306,4156,1,No,12,3,2,1,13,5,1,13,10,3,12,0.2307692307692307,0.7692307692307693,0.3846153846153846,0.9230769230769232,10.2,Moderate,0,Senior,0,1,2.3086367209588445,1.2260439119530493,1,Stable Contributors
43,0,Travel_Frequently,313,Research & Development,21,3,Medical,4,Male,61,3,1,Laboratory Technician,4,Married,2258,15238,7,No,20,4,1,1,8,1,3,3,2,1,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,8.0,Recent,1,Mid,0,0,-0.582895981654926,-1.4633539629504495,2,Fast-track Performers
43,0,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Yes,14,3,4,0,8,3,3,5,2,0,2,0.0,0.4,0.6,0.4,11.4,Recent,0,Mid,0,0,-1.4084183004208044,0.6629460324101604,2,Fast-track Performers
25,0,Travel_Rarely,891,Sales,4,2,Life Sciences,2,Female,99,2,2,Sales Executive,4,Single,4487,12090,1,Yes,11,3,2,0,5,3,3,5,4,1,3,0.2,0.8,0.6,0.6,10.1,Recent,0,Mid,0,0,-0.3159471155593443,-0.041949492223074064,2,Fast-track Performers
37,0,Non-Travel,1063,Research & Development,25,5,Medical,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Yes,15,3,1,2,15,2,3,13,11,10,7,0.7692307692307693,0.8461538461538461,0.1538461538461538,0.5384615384615384,0.5,Critical,0,Senior,1,1,3.7713595459654172,-1.8115718316635308,1,Stable Contributors
31,0,Travel_Rarely,329,Research & Development,1,2,Life Sciences,4,Male,98,2,1,Laboratory Technician,1,Married,2218,16193,1,No,12,3,3,1,4,3,3,4,2,3,2,0.75,0.5,0.75,0.5,6.199999999999999,Moderate,0,Mid,0,0,-0.3587520102539058,-1.8506703036715066,1,Fast-track Performers
39,0,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,19197,8213,1,Yes,14,3,3,1,21,3,3,21,8,1,6,0.0476190476190476,0.3809523809523809,0.1428571428571428,0.2857142857142857,16.4,Recent,0,Veteran,0,1,1.1736060462365163,3.9752563900448123,1,Stable Contributors
56,0,Travel_Frequently,906,Sales,6,3,Life Sciences,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,9,No,11,3,4,3,36,0,2,7,7,7,7,1.0,1.0,0.0,1.0,5.1,Critical,1,Senior,1,1,3.3574091697666906,-1.6155570858019201,1,Stable Contributors
30,0,Travel_Rarely,1082,Sales,12,3,Technical Degree,2,Female,83,3,2,Sales Executive,3,Single,6577,19558,0,No,11,3,2,0,6,6,3,5,4,4,4,0.8,0.8,1.2,0.8,10.1,Delayed,0,Mid,0,0,0.31273009220356257,-0.5941799592950869,2,Fast-track Performers
41,0,Travel_Rarely,645,Sales,1,3,Marketing,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,No,16,3,3,1,10,2,3,10,7,0,7,0.0,0.7,0.2,0.7,12.6,Recent,0,Senior,0,1,0.7502391345375936,1.5603078378317647,1,Stable Contributors
28,0,Travel_Rarely,1300,Research & Development,17,2,Medical,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,No,12,3,4,1,10,2,3,10,0,1,8,0.1,0.0,0.2,0.8,9.2,Recent,0,Senior,0,0,-0.10398807463676157,0.5524248248683059,2,Fast-track Performers
25,1,Travel_Rarely,688,Research & Development,3,3,Medical,1,Male,91,3,1,Laboratory Technician,1,Married,4031,9396,5,No,13,3,3,1,6,5,3,2,2,0,2,0.0,1.0,2.5,1.0,11.3,Recent,0,Early,0,0,-1.694553450649512,-0.3701712891338765,2,Fast-track Performers
52,0,Travel_Rarely,319,Research & Development,3,3,Medical,4,Male,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Yes,14,3,3,0,28,4,3,5,4,0,4,0.0,0.8,0.8,0.8,14.4,Recent,0,Mid,0,0,-0.5553983675620496,1.4311369915021992,2,Fast-track Performers
45,0,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Male,69,3,1,Research Scientist,4,Married,2654,9655,3,No,21,4,4,2,8,3,2,2,2,0,2,0.0,1.0,1.5,1.0,11.1,Recent,0,Early,0,0,-1.2420594458092258,-0.6704399354428882,2,Fast-track Performers
52,0,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,4,Female,30,3,4,Manager,4,Married,16555,10310,2,No,13,3,4,0,31,2,1,5,2,1,4,0.2,0.4,0.4,0.8,13.3,Recent,0,Mid,0,0,-0.29333833645124013,1.2170699076630893,2,Fast-track Performers
42,0,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,4556,12932,2,No,11,3,2,1,19,3,3,5,4,0,2,0.0,0.8,0.6,0.4,11.1,Recent,0,Mid,0,0,-0.8864104634659034,0.47034607300089604,2,Fast-track Performers
30,0,Travel_Rarely,317,Research & Development,2,3,Life Sciences,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,No,20,4,3,0,11,2,3,5,4,0,2,0.0,0.8,0.4,0.4,12.0,Recent,0,Mid,0,0,-0.8289023629663199,0.45425602768411716,2,Fast-track Performers
60,0,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,Female,41,3,5,Manager,1,Married,19566,3854,5,No,11,3,4,0,33,5,1,29,8,11,10,0.3793103448275862,0.2758620689655172,0.1724137931034483,0.3448275862068966,8.100000000000001,Critical,0,Veteran,1,1,3.988758149715885,2.8172460746113783,1,Stable Contributors
46,0,Travel_Rarely,1485,Research & Development,18,3,Medical,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,No,14,3,3,1,19,5,2,10,7,0,8,0.0,0.7,0.5,0.8,13.4,Recent,0,Senior,0,1,0.4143040566341408,1.7281936113573677,1,Stable Contributors
42,0,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,No,11,3,4,3,7,4,4,6,5,0,4,0.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,12.1,Recent,0,Mid,0,0,-0.4275577336333953,0.8286342539533644,2,Fast-track Performers
24,1,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4,0.2,0.6,0.8,0.8,9.6,Recent,0,Mid,0,0,-0.5927842896385055,-0.3558208710564317,2,Fast-track Performers
34,1,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,No,16,3,4,1,3,3,2,2,2,1,0,0.5,1.0,1.5,0.0,8.6,Recent,0,Early,0,0,-1.52887455102392,-1.3637952567733338,1,Fast-track Performers
38,0,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Yes,23,4,3,1,1,3,3,1,0,0,0,0.0,0.0,3.0,0.0,11.3,Recent,0,Early,0,0,-3.6230896870537403,0.15499642199660746,2,Fast-track Performers
40,0,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Female,79,3,5,Manager,3,Married,18041,13022,0,No,14,3,4,0,21,2,3,20,15,1,12,0.05,0.75,0.1,0.6,15.4,Recent,0,Veteran,0,1,3.2001772471033374,3.903787418097266,1,Stable Contributors
26,0,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,Female,90,3,1,Research Scientist,4,Divorced,2886,3032,1,No,22,4,2,2,3,3,1,3,2,0,2,0.0,0.6666666666666666,1.0,0.6666666666666666,11.2,Recent,0,Mid,0,0,-1.478206921354045,-0.20548176978060897,2,Fast-track Performers
30,0,Non-Travel,1400,Research & Development,3,3,Life Sciences,3,Male,53,3,1,Laboratory Technician,4,Married,2097,16734,4,No,15,3,3,1,9,3,1,5,3,1,4,0.2,0.6,0.6,0.8,8.5,Recent,0,Mid,0,0,-0.3914165336949652,-0.6677599330353792,2,Fast-track Performers
29,0,Travel_Rarely,986,Research & Development,3,4,Medical,2,Male,93,2,3,Research Director,3,Married,11935,21526,1,No,18,3,3,0,10,2,3,10,2,0,7,0.0,0.2,0.2,0.7,12.8,Recent,0,Senior,0,0,-0.1742518745924078,1.6537070491968138,2,Fast-track Performers
29,1,Travel_Rarely,408,Research & Development,25,5,Technical Degree,3,Female,71,2,1,Research Scientist,2,Married,2546,18300,5,No,16,3,2,0,6,2,4,2,2,1,1,0.5,1.0,1.0,0.5,7.6,Recent,0,Early,0,0,-0.7834281792184453,-1.8473963115889647,1,Fast-track Performers
19,1,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,2564,18437,1,No,12,3,3,0,1,3,4,1,0,0,0,0.0,0.0,3.0,0.0,9.2,Recent,0,Early,0,0,-3.472037048837586,-0.15564504549866987,2,Fast-track Performers
30,0,Non-Travel,1398,Sales,22,4,Other,3,Female,69,3,3,Sales Executive,1,Married,8412,2890,0,No,11,3,3,0,10,3,3,9,8,7,8,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.8888888888888888,6.1,Critical,0,Senior,1,1,2.875152940068436,-0.7901657870309994,1,Stable Contributors
57,0,Travel_Rarely,210,Sales,29,3,Marketing,1,Male,56,2,4,Manager,4,Divorced,14118,22102,3,No,12,3,3,1,32,3,2,1,0,0,0,0.0,0.0,3.0,0.0,15.2,Recent,0,Early,0,0,-3.3323051459904454,1.9818050045568851,2,Fast-track Performers
50,0,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,2,Male,88,2,4,Manager,3,Married,17046,9314,0,No,15,3,2,1,28,2,3,27,10,15,7,0.5555555555555556,0.3703703703703703,0.074074074074074,0.2592592592592592,-0.5,Critical,0,Veteran,1,1,4.976581053852991,0.04356808614329644,1,Stable Contributors
30,0,Non-Travel,1116,Research & Development,2,3,Medical,3,Female,49,3,1,Laboratory Technician,4,Single,2564,7181,0,No,14,3,3,0,12,2,2,11,7,6,7,0.5454545454545454,0.6363636363636364,0.1818181818181818,0.6363636363636364,2.4000000000000004,Delayed,0,Senior,1,1,2.1539529670109627,-1.6773470065459948,1,Stable Contributors
60,0,Travel_Frequently,1499,Sales,28,3,Marketing,3,Female,80,2,3,Sales Executive,1,Married,10266,2845,4,No,19,3,4,0,22,5,4,18,13,13,11,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.6111111111111112,2.9000000000000004,Critical,0,Veteran,1,1,4.871756251771455,-0.02879604460933664,1,Stable Contributors
47,0,Travel_Rarely,983,Research & Development,2,2,Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,No,13,3,3,3,20,2,3,5,0,0,4,0.0,0.0,0.4,0.8,10.3,Recent,0,Mid,0,0,-1.2072909166728292,0.40601318217877164,2,Fast-track Performers
